搜尋詞,Rank,coupom,relevancy ,tf-idf,relevancy ,semantic_model,relevancy 
維他命,10,"Centrum 善存 維他命C甜嚼錠 橘子口味, 60錠, 1盒",2,"esthemax 維他命面膜, 10片, 1個",2,"CMG 綜合維他命保健錠, 60顆, 1組",2
衛生紙,1,"倍潔雅 抽取式衛生紙 2層 150張, 14包, 4袋",2,"衛生紙9包+迷你袖珍衛生紙10包, 1組",2,"倍潔雅 柔軟舒適抽取衛生紙, 150張, 14包, 1袋",2
衛生紙,2,"Scott 可麗舒 柔韌抽取式衛生紙 100張, 10包, 1袋",2,"雪柔 抽取衛生紙, 1包",2,"倍潔雅 超柔韌抽取式衛生紙, 100張, 6包, 16袋",2
衛生紙,3,"得意 連續抽取式花紋衛生紙 100張, 10包, 7袋",2,"Kleenex 舒潔 抽取衛生紙, 1包",2,"倍潔雅 抽取衛生紙, 100張, 6包, 8袋",2
衛生紙,4,"倍潔雅 好韌真 抽取式衛生紙 3層 100張, 10包, 2袋",2,"復古方形衛生紙, 粉色的, 1個",2,"倍潔雅 超柔韌抽取式衛生紙, 100張, 6包, 40袋",2
衛生紙,5,"LIVI 優活 抽取式衛生紙 2層, 24包, 1袋",2,"Hanyeji 抽取式衛生紙, 6盒, 3組",2,"倍潔雅 抽取式衛生紙 2層 150張, 14包, 4袋",2
衛生紙,6,"唯潔雅 抽取式衛生紙 100張, 12包, 6袋",2,"Hanyeji 抽取式衛生紙, 6盒, 4組",2,"五月花 超柔質感 抽取式衛生紙, 100張, 24包, 9袋",2
衛生紙,7,"倍潔雅 抽取式衛生紙 2層 150張, 14包, 8袋",2,"Hanyeji 抽取式衛生紙, 6盒, 5組",2,"倍潔雅 抽取式衛生紙 100張, 8包, 10袋",2
衛生紙,8,"LIVI 優活 柔拭紙巾面紙 方型包 2層 300張, 30包",2,"Hello Kitty 印花衛生紙, 3盒, 1組",2,"倍潔雅 抽取式衛生紙 100張, 8包, 40袋",2
衛生紙,9,"得意 連續抽取式花紋衛生紙 100張, 12包, 7袋",2,"KLEANNARA 衛生紙, 12包, 160張",2,"統潔 良品柔韌親膚抽取式衛生紙, 150張, 120包",2
衛生紙,10,"倍潔雅 好韌真 抽取式衛生紙 3層 100張, 12包",2,"春風 平版衛生紙, 6包, 12袋",2,"倍潔雅 抽取式衛生紙 2層 150張, 14包, 8袋",2
衣架,1,"wide 可旋轉防滑衣架, 黑白色, 30個",2,"可拆卸衣架衣架, 白色的",2,"門衣架多衣架架, 綠色, 2個",2
衣架,2,"LIVENS 防滑衣架, 白色, 50個",2,"可拆卸衣架衣架, 黑色的",2,"可拆卸木架衣架衣架, 十字棕色",2
衣架,3,"comet 防滑塗層衣架, 灰色, 20個",2,"衣架儲物衣架, 5入, 灰色",2,"多用途衣架 5入, 灰色, 1組",2
衣架,4,"comet 防滑衣架, 灰色, 50個",2,"腰帶衣架衣架藍色, 2個",2,"野營衣架衣架 M, 黑色, 1個",2
衣架,5,"不鏽鋼20夾防風曬衣架 不鏽鋼圓形 311g, 2組",2,"衣架專家 移動式衣架, 黑色+白色",2,"32mm 多用途衣架 衣架 72 ~ 110cm, 白色的, 1個",2
衣架,6,"NATURE LIVING 防滑褲架, 深藍色, 10個",2,"衣架專家 移動式衣架, 黑色 白色",2,"32mm 多用途衣架 衣架 110 ~ 160cm, 白色的, 1個",2
衣架,7,"comet Home 可旋轉防滑衣架 41 x 22 x 0.6cm 最大承載4kg, 灰色, 30個",2,"漂亮的衣架洗衣衣架, 100個, 黑色",2,"TU良品 超優質多用途衣架, 21個",2
衣架,8,"Marketplan不銹鋼衣架, 單色, 30入",2,"彩色架 活動衣架 衣架, 白色",2,"多用途衣架 70cm, 單一顏色, 1個",2
衣架,9,"ikloo 宜酷屋 簡易型多功能曬衣架 4.68kg, 白色, 1組",2,"5孔內牆衣架衣架, 黑色的, 1個",2,"TU良品 超優質多用途衣架, 7個",2
衣架,10,"LIVENS 防滑衣架, 白色, 100個",2,"Ecoco 多功能衣架和衣架 黑色, 1個",2,"comet 家用基本型2層固定衣架衣架, 白+黑",2
餅乾,1,"Kid-O 三明治餅乾 奶油口味 4.8oz, 136g, 3袋",2,"餅乾, 100g, 1份",2,"點心餅乾組 B款, 15種零食餅乾, 1組",2
餅乾,2,"Want-Want 旺旺 雪月小雪餅, 75g, 4袋",2,"糙米餅乾, 200g, 6罐",2,"餅乾零食組 B2款, 1組, 16種零食餅乾",2
餅乾,3,"義美 夾心酥 檸檬風味 3包入, 75g, 3盒",2,"巧克力餅乾, 1.8kg, 1包",2,"精選點心餅乾組, 8種零食餅乾, 1組",2
餅乾,4,"SANRITSU 三立製菓 D'asses 白巧克力味夾心餅 12個, 84g, 2盒",2,"糙米餅乾, 10包, 60g",2,"人氣綜合餅乾 C8款, 16種零食餅乾, 1組",2
餅乾,5,"御之味 蔬菜棒棒餅 16包, 256g, 2袋",2,"巧克力餅乾, 20克, 12個",2,"軍隊餅乾3p+米餅乾3p+蔬菜餅乾3p+芝麻餅乾3p套組, 1組",2
餅乾,6,"義美 榛果巧克力酥片 奶素, 140g, 2盒",2,"玉米餅乾, 200g, 2包",2,"巧克力餅乾, 1包, 85g",2
餅乾,7,"義美 蛋捲 原味, 60g, 3盒",2,"巧克力餅乾, 1包, 85g",2,"愛心造型餅乾 3款 各2入, 1組",2
餅乾,8,"旺旺 仙貝 大, 112g, 3袋",2,"糙米餅乾, 20包, 60g",2,"馬卡龍造型餅乾 檸檬口味, 1包, 35g",2
餅乾,9,"鴻津 太國捲, 350g, 2袋",2,"芝麻餅乾, 1000g, 1袋",2,"Win2 巧克力餅乾& 烤馬鈴薯餅乾組, 1組",2
餅乾,10,"義美 榛果巧克力酥片 奶素 牛奶巧克力 8包, 280g, 1盒",2,"芝麻餅乾, 220g, 1罐",2,"零食組 22入, 15種零食餅乾, 1組",2
aaa電池,1,"Home Planet 鹼性4號AAA電池, 32入, 1盒",2,"鹼性AAA電池, 24個, 1件",2,"韓國產鹼性AAA電池, 1個, 24件",2
aaa電池,2,"東芝高功率鹼性 AAA 電池, 10入, 1個",2,"Panasonic 鹼性電池 AAA, 2件, 20個",2,"瑞士高級 AAA 電池, 1個, 40入",2
aaa電池,3,"RAYMAX 鹼性電池 AAA, 80顆, 1盒",2,"韓國產鹼性AAA電池, 1個, 24件",2,"瑞士高級 AAA 電池, 3個, 40入",2
aaa電池,4,"SWISS MILITARY 瑞士鹼性3號電池 AAA 40入, 1組",2,"Panasonic 鹼性 AAA 電池, 20件, 1個",2,"瑞士高級 AAA 電池, 1盒, 20入",2
aaa電池,5,"PROKAN 動力錳電池 AAA 散裝, 60件, 1個",2,"DURACELL 鹼性 AAA 電池, 10入, 4個",2,"散裝鹼性 AAA 電池, 40入, 2個",2
aaa電池,6,"Panasonic 國際牌 Evolta 鈦元素鹼性電池 4號, 10顆, 1組",2,"堅固的 AAA 電池, 8件, 10個",2,"散裝鹼性 AAA 電池, 40入, 5個",2
aaa電池,7,"Home Planet 鹼性4號AAA電池, 64個, 1盒",2,"Bexel 鹼性電池 AAA, 20件, 1個",2,"DURACELL AAA 電池, 40入, 1個",2
aaa電池,8,"TOSHIBA 東芝 高功率鹼性 AAA 電池, 10入, 2個",2,"Bexel 鹼性電池 AAA, 40入, 1個",2,"鹼性電池 AA 24入+AAA 24入, 1組, 24入",2
aaa電池,9,"Energizer 勁量 鹼性4號電池, 12顆, 6組",2,"Raymax 鹼性電池 AAA, 60入, 2個",2,"Panasonic 國際牌 鹼性 AAA 電池, 8入, 5個",2
aaa電池,10,"DURACELL 金頂 經典鹼性4號電池, 12顆, 1組",2,"Bexel 鹼性 AAA 電池, 2件, 10個",2,"DURACELL 超 AAA 電池, 2件, 2個",2
b&eacute,1,"DHC 維他命B群 30日份 台灣公司貨, 60顆, 1包",2,,2,"B&B 洗髮沐浴露, 200ml, 1瓶",2
b&eacute,2,"台塑生醫 MD Formula 醫之方 緩釋B群雙層錠, 60顆, 1盒",2,,2,"B&C Bideok 唱歌麥克風, 混色",2
b&eacute,3,"Nature Made 萊萃美 全方位維生素B群加C 活力配方, 300顆, 1罐",2,,2,"B&D Izendry Plus 洗衣精, 1000ml, 1瓶",2
b&eacute,4,"SENTOSA 三多 女性B群Plus鐵鎂錠, 60錠, 1盒",2,,2,"B&B 去漬噴霧, 500ml, 5瓶",2
b&eacute,5,"大研生醫 B群緩釋雙層錠, 30錠, 1罐",2,,2,"B&B 去漬噴霧, 500ml, 4瓶",2
b&eacute,6,"葡萄王 人蔘蜆B群 Plus B雙層加強碇, 30顆, 1罐",2,,2,"B&C Mighty Gear 自卸車, 混色",2
b&eacute,7,"克補 B群+鐵 加強錠, 90錠, 1組",2,,2,"B&B 蜂膠, 1個, 30ml",2
b&eacute,8,"now 健而婷 維他命B-12膠囊 1000mcg, 1個, 250顆, 1罐",2,,2,"B&B 蜂膠, 2罐, 30ml",2
b&eacute,9,"台塑生醫 MD Formula 醫之方 緩釋B群雙層錠, 60顆, 2盒",2,,2,"BWC 維生素C抗氧化活力精華, 1個, 28克",2
b&eacute,10,"Bertie Biotech 柏諦生技 活力維他命B群 + 鋅 食品膠囊, 30顆, 1包",2,,2,"B&B 衣物柔軟精 佛手柑葡萄柚香, 1500ml, 1罐",2
bnc母轉rca,1,"IQOS Multi 3in1 吉他弦線盤, 1個",2,"優質 RCA 電視同軸電纜白色 20m, SOLTOP-626",2,"Mach Link RCA TO BNC 5C 同軸電纜 白色 2m, CP-1190",2
bnc母轉rca,2,"Mellow Buddy 白色播放器 1212575569, 1組",2,"NEXT BNC 視頻電源浪湧保護器, NEXT-1613SP-VP, 1個",2,"Mach Link 高級 RCA TO BNC 5C 同軸電纜 30m, CP-1151",2
bnc母轉rca,3,"4極6.3mm鋼琴放大器電纜轉換性別, 單品",2,"NEXT BNC視頻電源數據浪湧保護器, NEXT-1614SP-VPD, 1個",2,"Coms HDMI 轉 RCA 轉換器電纜 1.8m, BT965",2
bnc母轉rca,4,"Sky Sun Star Doremi Fasol 蟹寶寶鋼琴 huanhe0535, 混合顏色",2,"NEXT 閉路電視BNC視頻降噪和浪湧保護器, NEXT-001HDGL, 1個",2,"Mach Link 高級 RCA TO BNC 5C 同軸電纜 10m, CP-1148",2
bnc母轉rca,5,"Widen Company SOLO 手動清音節拍器, 粉色",2,"ONE Little Bear VU表RCA 4 通道音頻選擇器白板, VU2-L",2,"Mach Link 高級 RCA TO BNC 5C 同軸電纜 20m, CP-1150",2
bnc母轉rca,6,"MUSIC WORKS 高性能吉他小提琴薩克斯管投手, ADT-300, 混色",2,"Kinyo 行動電源 附Micro公轉Type-C母轉接頭 + Micro USB充電線 63 x 13 x 93mm 112g, KPB-3317, 粉色",2,"Mach Link RCA TO BNC 5C 同軸電纜 白色 30m, CP-1178",2
bnc母轉rca,7,"Coms USB升壓電源線+直流母線, BS987",2,,2,"Mach Link 高級 RCA TO BNC 5C 同軸電纜 2m, CP-1144",2
bnc母轉rca,8,"繆斯博士樂器放大器電吉他線深綠色2W015, 1入",2,,2,"Mach Link RCA TO BNC 5C 同軸電纜 5m, CP-1146",2
bnc母轉rca,9,"PARKSSISANGBANG Namwon Orimok 收音機複製器小板, 1個",2,,2,"光纖數字音頻光纜 TOSLINK RCA 公頭 1RCA 公頭 1.5m, 單品",2
bnc母轉rca,10,"RODE VXLR+ 聲學配件, 單品, 混色",2,,2,"Soltop 金色 RCA 轉 BNC 藍色電視同軸電纜 20m, SOLTOP-905",2
harmoniz,1,"Super Wings 奉伴莊寵物玩具, 混色",2,,2,"HarmonicInnerprizes 保健補充膠囊 660mg, 60顆, 1罐",2
harmoniz,2,"家有惡犬桌遊, 混合顏色",2,,2,"Kohas ID 溫德姆棉夢想家飛鳥面料面料, 淺紫色",2
harmoniz,3,"JINSIM DESIGN 小狗造型玩偶, 混合顏色",2,,2,"SEMEUR 智能手錶設計矽膠綁帶帶線42/44 / 45毫米, 19 張赫爾辛基門票",2
harmoniz,4,"Kids Pang Pang 只柔軟的動物朋友人偶套組, 1套",2,,2,"SEMEUR 智慧型手錶設計矽膠錶帶 38/40/41mm, 19款 赫爾辛基門票",2
harmoniz,5,"我的朋友 mong 工作動物玩偶, 混色",2,,2,"happi hamster 健康樂活配方, 600g, 1罐",2
harmoniz,6,"HAPPY BEARS 甜鳳梨毛絨玩具, 混色, 3個",2,,2,"OREGON'S Wild Harvest 卡宴無麩質明膠膠囊, 1個, 90 件",2
harmoniz,7,"URBAN CAR 狗 娃娃 兔子, 1入, 1個",2,,2,"HarmonicInnerprizes 關節保健膠囊, 30顆, 1罐",2
harmoniz,8,"HAPPY BEARS Buggy Spirit 菱形毛絨毛絨玩具, 混色, 3個",2,,2,"Moizi MZ-H10 語言遊戲耳機, 黑色",2
harmoniz,9,"TERRA By Battat 小狗家庭人物 4 種類型, 1套",2,,2,"Haatz 雙口電磁爐, 自行安裝, HEC-2050SH",2
harmoniz,10,"WISE HAWK Nanoblock Atonano 海洋動物 F (SFwh), 混色",2,,2,"Hamilton Products 完全可調節的狗帶, 漿果藍",2
上層凝膠,1,"SM IVIT GEM gel 免清美甲上層凝膠, 透明, 10ml, 1瓶",2,"yuki 上層凝膠, 單色, 3個",2,"美甲用上層凝膠 10ml, 單色, 1個",2
上層凝膠,2,"Deli Beauty Perfect 免清上層美甲凝膠, 透明, 10ml, 1瓶",2,"yuki 上層凝膠, 單色, 4個",2,"凝膠未固化非擦拭嗖嗖頂部凝膠, 單色, 3個",2
上層凝膠,3,"Deli Beauty Perfect 免清上層美甲凝膠, 透明, 10ml, 1瓶",2,"yuki 上層凝膠, 單色, 6個",2,"凝膠未固化非擦拭嗖嗖頂部凝膠, 單色, 2個",2
上層凝膠,4,"BESSIE 亮面上層凝膠, 透明, 11ml, 1瓶",2,"yuki 上層凝膠, 單色, 5個",2,"BEAUNiX 上層凝膠 12ml, 單色, 120ml, 1瓶",2
上層凝膠,5,"Jello Jello 透亮上層美甲凝膠, 透明, 10ml, 1瓶",2,"美甲用上層凝膠 10ml, 單色, 1個",2,"VERY GOODNAIL 霧面上層凝膠 10ml, 透明, 1個",2
上層凝膠,6,"SM IVIT GEM gel 免清美甲上層凝膠, 透明, 10ml, 2瓶",2,"Passet 美甲上層凝膠, 透明, 1瓶",2,"備用凝膠, 150ml, 3個",2
上層凝膠,7,"withshyan 免清鑽石美甲上層凝膠, 1瓶, 透明, 10g",2,"Passet 美甲上層凝膠, 透明, 2瓶",2,"備用凝膠, 150ml, 2個",2
上層凝膠,8,"BESSIE 霧面上層凝膠, 透明, 11ml, 1瓶",2,"Passet 美甲上層凝膠, 透明, 3瓶",2,"綜合凝膠指甲油組 4入, 基礎凝膠 + 頂部凝膠 + 啞光頂部凝膠 + 透明凝膠, 1套",2
上層凝膠,9,"Deli Beauty Perfect 免清上層美甲凝膠, 透明, 10ml, 2瓶",2,"Passet 美甲上層凝膠, 透明, 4瓶",2,"備用凝膠, 150ml, 4個",2
上層凝膠,10,"BESSIE 亮面上層凝膠, 透明, 11ml, 1瓶",2,"Passet 美甲上層凝膠, 透明, 6瓶",2,"Passet 美甲上層凝膠, 透明, 2瓶",2
修剪草鋸片,1,"FUJIYA 富士箭 萬能電工專業剪刀 210mm, 1支",2,"鼻毛修剪器, 單色, 1個",2,"牧田 TCT 木材圓鋸片 A-50500, 1個",2
修剪草鋸片,2,COMAN 安全刀 - 3 種,2,"Powerpik Lindo 多功能修剪器眉毛鼻毛修剪器, ST9300, 乳白色",2,"牧田 TCT 木材圓鋸片 B-45587, 1個",2
修剪草鋸片,3,"細磨機鏈鋸, 1套",2,河流綠樹修剪,2,"牧田 TCT 木材圓鋸片 D-50566, 1個",2
修剪草鋸片,4,"KaKurI 直手柄/弧形手柄鋸(修剪用), 1個",2,"修剪器鑽頭 12.7mm, 1個",2,"牧田 TCT 木材圓鋸片 D-50500, 1個",2
修剪草鋸片,5,"ETShop高速鋼板開孔鋸5件套/孔鋸 高速鋼開孔鋸 電鑽穿孔沖孔切割開孔鋸, 1套",2,"Medicit 女士修剪脫毛器粉紅色, 10個, 1入",2,"牧田 TCT 木材圓鋸片 D-65442, 1個",2
修剪草鋸片,6,"木工孔鋸 16p, 1套",2,"Wiinue 身體修剪器 藍色, 1件, 1個",2,"牧田 TCT 木材圓鋸片 B-09949, 1組",2
修剪草鋸片,7,"CHIKAMASA 左手修枝剪 CRI-360SFP, 1個",2,"牧田修剪器 N3701, 1個",2,"牧田 TCT 金屬圓鋸片 B-46296, 1個",2
修剪草鋸片,8,"三葉草收割者 2 21-501, 混色, 1入",2,"Panasonic 眉毛修剪器, ER-GM40",2,"TaJIma 田島 鋸片 木工鋸片 木工鐵鋸片 3p, GNB-300, 1個",2
修剪草鋸片,9,"ALLEX 林刃物 專業型萬能剪 長刃 189 x 87 x 13mm, 1支",2,"Idoncare 電動眉毛修剪器, 黑色, 3個",2,"牧田 TCT 鋸片 P-84355, 1個",2
修剪草鋸片,10,"OON 鋼板孔鋸 5件套, 1套",2,"Idoncare 電動眉毛修剪器, 黑色, 4個",2,"Steelforce 木工圓鋸片 100T 255mm TH-WC255SB, 1個",2
倒車雷達型,1,"捷信科技圓偏振無源3D眼鏡空氣雷達, 單品",2,,2,"12.9cm顯示器倒車自動響應後置攝像頭全套LED, 單品",2
倒車雷達型,2,"4760 125mm 用於 Koken 1/2SQ 連接器手, 1個",2,,2,"10.9cm顯示器倒車自動響應後置攝像頭全套鍍鉻, 單品",2
倒車雷達型,3,"Motorsline 車輛後方傳感器警報銀色 200 x 180 x 50 毫米 480 克, PS-14",2,,2,"Radost 倒車護理燈, 灰色",2
倒車雷達型,4,"BANDI i30cw 車牌燈, 單一顏色, 2個",2,,2,"Tikerbell 雷金版58 LED倒車燈T15, 2個, 混合顏色",2
倒車雷達型,5,"城市汽車快速測速HUD, 1個",2,,2,"Aika全款顯示器+自動倒車後置攝像頭套組, 裝飾類型",2
倒車雷達型,6,"MPROBEAM 汽車取消器建造-144 LED燈雙型12V, 混合顏色",2,,2,"ISORA 汽車倒車鏡頭 ISRCP004, OV-004S, 鉻合金",2
倒車雷達型,7,"MPROBEAM 12V汽車取消器建造-144 LED燈單型, 混合顏色, 1個",2,,2,"Radost 倒車護理燈, 黑色大理石",2
倒車雷達型,8,"汽車用3000AMP跳線電纜, 1個",2,,2,"MIXX 汽車專用V2 LED倒車燈, 2個, 水晶白 (6500k)",2
倒車雷達型,9,"Squalo 賽車鏡測水器 SGL-4900M, 1個, 橘色",2,,2,3S汽車多功能倒車傘,2
倒車雷達型,10,"VILCA LED行車記錄器模型+電池 2入+雙面膠, VBX-100",2,,2,"落地車LED倒車燈T15, 2個, 混合顏色",2
充電插線,1,"Forjay 智能手機捲軸式 3 合 1 多充電線, 1m, 透明灰, 1條",2,"PLEPIC 6孔雙面索引筆芯插線綠色, 1入, 2個",2,"大有餐飲快充+3數據線捲充電線, 1個, 風格 6",2
充電插線,2,"漢森C型充電線延長線連接數據線, 1個, 黑色, 20cm",2,CHIMEI 奇美家電 無線充電充電LED護眼台燈 LT-WF080D 336 x 70 x 326mm 1kg,2,"大有餐飲快充+3數據線捲充電線, 1個, 風格 5",2
充電插線,3,"Nuclear數據充電線C型, Clova White, 3個, 2m",2,"humming 攜帶式USB充電牙刷收納架, HMC-1000W, 白色的",2,"大有餐飲快充+3數據線捲充電線, 1個, 風格 3",2
充電插線,4,"Mcdodo 麥多多 Indicator Lightning iPhone 充電數據傳輸線 1.2m, 綠色, 1個",2,"MONCROSS 4 端口快速充電集線器 MSHUB-C3U, 黑色的, 1個",2,"大有餐飲快充+3數據線捲充電線, 1個, 風格 14",2
充電插線,5,"Kalron 3A 快充Lightning 8pin傳輸線 5m, 海軍, 1條",2,"Greenworks 24V 充電切割鋸體, 1個",2,"磁吸快速充電線, 1.5m, 紅色的",2
充電插線,6,"Digi Metal 8-Pin 快充線 1.5m, 2件, 銀色",2,"Dr.CLEANER UV LED攜帶式可充電牙刷清潔器, LD-C700, 黑色的",2,"大有餐飲快充+3數據線捲充電線, 1個, 樣式 13",2
充電插線,7,"Yoitch 多功能傳輸充電線, 黑色的, 2m, 1組",2,"Home Planet 5口USB3.0電源集線器（USB*4+充電*1）, 黑色",2,"Fundian Micro USB 快速充電線 黑色, 炭黑色, 4.方電2028AWG鍍金5針快充快充線80cm, 0.8m",2
充電插線,8,"3合1捲軸式充電線, 120cm, 1個, 金屬色 橙色",2,"House California Fastline 數據充電雙線 1m, 黑色, 1個",2,"NDM 高通快速充電多 4 端口插孔充電器支架類型 1.8m + 3WAY 充電線, 充電器（黑色）、數據線（隨機發貨）, S-J003",2
充電插線,9,"allo Korea 3 in 1多插頭快充線, 灰色的, 1個",2,"便攜式紫外線牙刷清潔器含USB充電底座 501S, 白色的",2,"大友餐飲充電器線數據線保護器款式4, 混色, 1個",2
充電插線,10,SMART BERRY MFi 認證 Lightning 數據線 充電線 1M 白色,2,"便攜式紫外線牙刷清潔器含USB充電底座 501S, 黑色的",2,"大友餐飲充電器線數據線保護器7款, 混色, 1個",2
兒童水杯,1,"MOTHER-K HUG 防逆流PP水杯, 冰綠色, 240ml, 1個",2,"Edison 兒童一觸式水杯, 1個, 薄荷, 350ml",2,"孩童小熊造型雙耳水杯, 灰色, 1入",2
